[0.010s] Invoking command in '/root/ros2_ws/build/communication': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/root/ros2_ws/install/aerial_system_mujoco:/opt/ros/humble /usr/bin/cmake --build /root/ros2_ws/build/communication -- -j16 -l16
[0.112s] [  1%] Built target communication__cpp
[0.128s] [  1%] Built target ament_cmake_python_symlink_communication
[0.145s] [ 12%] Built target communication__rosidl_generator_c
[0.157s] [ 23%] Built target communication__rosidl_typesupport_cpp
[0.157s] [ 34%] Built target communication__rosidl_typesupport_fastrtps_cpp
[0.158s] [ 46%] Built target communication__rosidl_typesupport_introspection_cpp
[0.169s] [ 68%] Built target communication__rosidl_typesupport_c
[0.169s] [ 68%] Built target communication__rosidl_typesupport_introspection_c
[0.171s] [ 79%] Built target communication__rosidl_typesupport_fastrtps_c
[0.186s] [ 79%] Built target communication
[0.204s] [ 80%] Built target communication__py
[0.225s] [ 90%] Built target communication__rosidl_generator_py
[0.238s] [ 93%] Built target communication__rosidl_typesupport_fastrtps_c__pyext
[0.240s] [ 96%] Built target communication__rosidl_typesupport_c__pyext
[0.240s] [100%] Built target communication__rosidl_typesupport_introspection_c__pyext
[0.281s] running egg_info
[0.281s] writing communication.egg-info/PKG-INFO
[0.281s] writing dependency_links to communication.egg-info/dependency_links.txt
[0.281s] writing top-level names to communication.egg-info/top_level.txt
[0.282s] reading manifest file 'communication.egg-info/SOURCES.txt'
[0.283s] writing manifest file 'communication.egg-info/SOURCES.txt'
[0.298s] [100%] Built target ament_cmake_python_build_communication_egg
[0.311s] Invoked command in '/root/ros2_ws/build/communication' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/root/ros2_ws/install/aerial_system_mujoco:/opt/ros/humble /usr/bin/cmake --build /root/ros2_ws/build/communication -- -j16 -l16
[0.320s] Invoking command in '/root/ros2_ws/build/communication': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/root/ros2_ws/install/aerial_system_mujoco:/opt/ros/humble /usr/bin/cmake --install /root/ros2_ws/build/communication
[0.327s] -- Install configuration: ""
[0.328s] -- Execute custom install script
[0.329s] -- Up-to-date symlink: /root/ros2_ws/install/communication/share/ament_index/resource_index/rosidl_interfaces/communication
[0.329s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/actuator_cmds.h
[0.330s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/actuator_cmds__functions.h
[0.330s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/actuator_cmds__struct.h
[0.330s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/actuator_cmds__type_support.h
[0.330s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/motion_commands__functions.h
[0.330s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/motion_commands__struct.h
[0.330s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/motion_commands__type_support.h
[0.331s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/touch_sensor__functions.h
[0.331s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/touch_sensor__struct.h
[0.331s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/touch_sensor__type_support.h
[0.331s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/motion_commands.h
[0.331s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/rosidl_generator_c__visibility_control.h
[0.331s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/touch_sensor.h
[0.332s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/gait_switch__functions.h
[0.332s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/gait_switch__struct.h
[0.332s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/gait_switch__type_support.h
[0.332s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/simulation_reset__functions.h
[0.332s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/simulation_reset__struct.h
[0.333s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/simulation_reset__type_support.h
[0.333s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/gait_switch.h
[0.333s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/simulation_reset.h
[0.333s] -- Up-to-date symlink: /root/ros2_ws/install/communication/share/communication/environment/library_path.sh
[0.333s] -- Up-to-date symlink: /root/ros2_ws/install/communication/share/communication/environment/library_path.dsv
[0.334s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/actuator_cmds__rosidl_typesupport_fastrtps_c.h
[0.334s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/motion_commands__rosidl_typesupport_fastrtps_c.h
[0.334s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/touch_sensor__rosidl_typesupport_fastrtps_c.h
[0.334s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/rosidl_typesupport_fastrtps_c__visibility_control.h
[0.334s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/gait_switch__rosidl_typesupport_fastrtps_c.h
[0.334s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/simulation_reset__rosidl_typesupport_fastrtps_c.h
[0.335s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/actuator_cmds.hpp
[0.335s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/actuator_cmds__builder.hpp
[0.335s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/actuator_cmds__struct.hpp
[0.335s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/actuator_cmds__traits.hpp
[0.335s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/actuator_cmds__type_support.hpp
[0.336s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/motion_commands__builder.hpp
[0.336s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/motion_commands__struct.hpp
[0.336s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/motion_commands__traits.hpp
[0.336s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/motion_commands__type_support.hpp
[0.336s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/touch_sensor__builder.hpp
[0.336s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/touch_sensor__struct.hpp
[0.336s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/touch_sensor__traits.hpp
[0.336s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/touch_sensor__type_support.hpp
[0.337s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/motion_commands.hpp
[0.337s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/rosidl_generator_cpp__visibility_control.hpp
[0.337s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/touch_sensor.hpp
[0.337s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/gait_switch__builder.hpp
[0.337s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/gait_switch__struct.hpp
[0.337s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/gait_switch__traits.hpp
[0.338s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/gait_switch__type_support.hpp
[0.338s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/simulation_reset__builder.hpp
[0.338s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/simulation_reset__struct.hpp
[0.338s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/simulation_reset__traits.hpp
[0.338s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/simulation_reset__type_support.hpp
[0.338s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/gait_switch.hpp
[0.338s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/simulation_reset.hpp
[0.339s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/actuator_cmds__rosidl_typesupport_fastrtps_cpp.hpp
[0.339s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/motion_commands__rosidl_typesupport_fastrtps_cpp.hpp
[0.339s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/touch_sensor__rosidl_typesupport_fastrtps_cpp.hpp
[0.339s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/rosidl_typesupport_fastrtps_cpp__visibility_control.h
[0.339s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/gait_switch__rosidl_typesupport_fastrtps_cpp.hpp
[0.339s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/simulation_reset__rosidl_typesupport_fastrtps_cpp.hpp
[0.339s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/actuator_cmds__rosidl_typesupport_introspection_c.h
[0.340s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/motion_commands__rosidl_typesupport_introspection_c.h
[0.340s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/touch_sensor__rosidl_typesupport_introspection_c.h
[0.340s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/rosidl_typesupport_introspection_c__visibility_control.h
[0.340s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/gait_switch__rosidl_typesupport_introspection_c.h
[0.340s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/srv/detail/simulation_reset__rosidl_typesupport_introspection_c.h
[0.340s] -- Up-to-date symlink: /root/ros2_ws/install/communication/include/communication/communication/msg/detail/actuator_cmds__rosidl_typesupport_introspection_cpp.hpp
